draft_model,prefill,budget,acceptance_rate,avg_token
68m,1000,-1.0,0.16188524590163936,0.6475409836065574
68m,1000,-1.0,0.14682539682539683,0.5873015873015873
68m,1000,-1.0,0.15853658536585366,0.6341463414634146
68m,1000,-1.0,0.1346153846153846,0.5384615384615384
68m,1000,-1.0,0.12593984962406016,0.5037593984962406
68m,1000,-1.0,0.1346153846153846,0.5384615384615384
68m,1000,-1.0,0.1316793893129771,0.5267175572519084
68m,1000,-1.0,0.15079365079365079,0.6031746031746031
68m,1000,-1.0,0.11775362318840579,0.47101449275362317
68m,1000,-1.0,0.35119047619047616,1.4047619047619047
68m,1000,-1.0,0.15079365079365079,0.6031746031746031
68m,1000,-1.0,0.10714285714285714,0.42857142857142855
68m,1000,-1.0,0.140625,0.5625
68m,1000,-1.0,0.3181818181818182,1.2727272727272727
68m,1000,-1.0,0.1437007874015748,0.5748031496062992
68m,1000,-1.0,0.24019607843137256,0.9607843137254902
68m,1000,-1.0,0.11948529411764706,0.47794117647058826
68m,1000,-1.0,0.14453125,0.578125
68m,1000,-1.0,0.11764705882352941,0.47058823529411764
68m,1000,-1.0,0.10460992907801418,0.41843971631205673
68m,1000,-1.0,0.22641509433962265,0.9056603773584906
68m,1000,-1.0,0.12878787878787878,0.5151515151515151
68m,1000,-1.0,0.12878787878787878,0.5151515151515151
68m,1000,-1.0,0.17796610169491525,0.711864406779661
68m,1000,-1.0,0.1213235294117647,0.4852941176470588
68m,1000,-1.0,0.14763779527559054,0.5905511811023622
68m,1000,-1.0,0.12313432835820895,0.4925373134328358
68m,1000,-1.0,0.15,0.6
68m,1000,-1.0,0.07894736842105263,0.3157894736842105
68m,1000,-1.0,0.18478260869565216,0.7391304347826086
68m,1000,-1.0,0.19517543859649122,0.7807017543859649
68m,1000,-1.0,0.16188524590163936,0.6475409836065574
68m,1000,-1.0,0.17735042735042736,0.7094017094017094
68m,1000,-1.0,0.15,0.6
68m,1000,-1.0,0.13953488372093023,0.5581395348837209
68m,1000,-1.0,0.15524193548387097,0.6209677419354839
68m,1000,-1.0,0.125,0.5
68m,2000,-1.0,0.14453125,0.578125
68m,2000,-1.0,0.13358778625954199,0.5343511450381679
68m,2000,-1.0,0.152,0.608
68m,2000,-1.0,0.12313432835820895,0.4925373134328358
68m,2000,-1.0,0.15853658536585366,0.6341463414634146
68m,2000,-1.0,0.13953488372093023,0.5581395348837209
68m,2000,-1.0,0.16666666666666666,0.6666666666666666
68m,2000,-1.0,0.11231884057971014,0.4492753623188406
68m,2000,-1.0,0.17584745762711865,0.7033898305084746
68m,2000,-1.0,0.1375968992248062,0.5503875968992248
