model,prefill,gamma,budget,acceptance_rate,avg_generated_token
7b-128k,2000,4,0.1,0.5564516129032258,2.225806451612903
7b-128k,2000,4,0.1,0.597457627118644,2.389830508474576
7b-128k,2000,4,0.1,0.5346153846153846,2.1384615384615384
7b-128k,2000,4,0.1,0.5113636363636364,2.0454545454545454
7b-128k,2000,4,0.1,0.4785714285714286,1.9142857142857144
7b-128k,2000,4,0.1,0.6590909090909091,2.6363636363636362
7b-128k,2000,4,0.1,0.6,2.4
7b-128k,2000,4,0.1,0.5436507936507936,2.1746031746031744
7b-128k,2000,4,0.1,0.6293103448275862,2.5172413793103448
7b-128k,2000,4,0.1,0.6163793103448276,2.4655172413793105
7b-128k,2000,4,0.1,0.6851851851851852,2.740740740740741
7b-128k,2000,4,0.1,0.5151515151515151,2.0606060606060606
7b-128k,2000,4,0.1,0.6681818181818182,2.672727272727273
7b-128k,2000,4,0.1,0.6727272727272727,2.690909090909091
7b-128k,2000,4,0.1,0.6271929824561403,2.508771929824561
7b-128k,2000,4,0.1,0.6898148148148148,2.759259259259259
7b-128k,2000,4,0.1,0.569672131147541,2.278688524590164
7b-128k,2000,4,0.1,0.6607142857142857,2.642857142857143
7b-128k,2000,4,0.1,0.614406779661017,2.457627118644068
7b-128k,2000,4,0.1,0.5192307692307693,2.076923076923077
7b-128k,2000,4,0.1,0.6447368421052632,2.5789473684210527
7b-128k,2000,4,0.1,0.8977272727272727,3.590909090909091
7b-128k,2000,4,0.1,0.6359649122807017,2.543859649122807
7b-128k,2000,4,0.1,0.6120689655172413,2.4482758620689653
7b-128k,2000,4,0.1,0.5604838709677419,2.2419354838709675
7b-128k,2000,4,0.1,0.6933962264150944,2.7735849056603774
7b-128k,2000,4,0.1,0.8125,3.25
7b-128k,2000,4,0.1,0.597457627118644,2.389830508474576
7b-128k,2000,4,0.1,0.5685483870967742,2.274193548387097
7b-128k,2000,4,0.1,0.5604838709677419,2.2419354838709675
7b-128k,2000,4,0.1,0.5875,2.35
7b-128k,2000,4,0.1,0.5725806451612904,2.2903225806451615
7b-128k,2000,4,0.1,0.6607142857142857,2.642857142857143
7b-128k,2000,4,0.1,0.5685483870967742,2.274193548387097
7b-128k,2000,4,0.1,0.631578947368421,2.526315789473684
7b-128k,2000,4,0.1,0.6944444444444444,2.7777777777777777
7b-128k,2000,4,0.1,0.5778688524590164,2.3114754098360657
7b-128k,4000,4,0.1,0.9817073170731707,3.926829268292683
7b-128k,4000,4,0.1,0.8072916666666666,3.2291666666666665
7b-128k,4000,4,0.1,0.7401960784313726,2.9607843137254903
7b-128k,4000,4,0.1,0.76,3.04
7b-128k,4000,4,0.1,0.7916666666666666,3.1666666666666665
7b-128k,4000,4,0.1,0.7806122448979592,3.122448979591837
7b-128k,4000,4,0.1,0.824468085106383,3.297872340425532
7b-128k,4000,4,0.1,0.7755102040816326,3.1020408163265305
7b-128k,4000,4,0.1,0.7259615384615384,2.9038461538461537
7b-128k,4000,4,0.1,0.8478260869565217,3.391304347826087
